"","Species","Pump_type","rpm","Control","Fin_cut","number_of_released_fish","n","Total"
"1","eel","F/N","468","control","buikvin 1 knip 2018-10-23",50,2,617
"2","eel","F/N","468","pump","rugvin 1 knip 2018-10-23",100,3,617
"3","roach","F/N","468","control","staart boven 2018-11-20",50,2,909
"4","roach","F/N","468","pump","borstvin links 2018-11-20",100,1,909
