"","Species","Pump_type","Frequency","Frequency_theoretical","rpm","Control","Fin_cut","State","Length","Weight","Class_1","Class_2.1","Class_2.2","Class_2.3","Class_3.1","Class_3.2","Class_3.3","Class_3.4","Class_3.5","Class_3.6","Class_3.7","Class_4","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","Pump_type_Frequency"
"1","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Alive",405.52,1250,48,0,0,2,0,0,0,0,0,0,0,0,50,50,1,48,2,0,0,50,50,100,"F/N 40"
"2","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,50,0,0,"F/N 40"
"3","bream","F/N","40","40","468","pump","geen 2018-12-18","Alive",398,1215.81818181818,0,0,0,11,0,0,0,0,0,0,0,0,100,155,1,0,11,0,0,64,11,17,"F/N 40"
"4","bream","F/N","40","40","468","pump","geen 2018-12-18","Dead",397.032694029031,1076.64150943396,1,1,0,21,13,28,0,0,9,13,0,6,100,155,1.73584905660377,1,4,48,6,64,53,83,"F/N 40"
"5","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Alive",334.764705882353,665.611764705882,1,0,0,16,0,0,0,0,0,0,0,0,55,155,1,1,16,0,0,33,17,52,"F/N 40"
"6","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Dead",356.634184061132,729.28125,0,0,0,3,1,11,0,0,1,4,0,0,55,155,1.25,0,2,14,0,33,16,48,"F/N 40"
"7","bream","F/N","47","40","550","pump","geen 2018-12-18","Alive",400.6,1150.8,0,0,1,5,0,0,0,0,0,0,0,0,100,155,1.2,0,5,0,0,35,5,14,"F/N 47"
"8","bream","F/N","47","40","550","pump","geen 2018-12-18","Dead",404.170533770453,1017.23333333333,1,0,0,7,2,21,0,1,5,5,0,0,100,155,1.4,1,2,27,0,35,30,86,"F/N 47"
"9","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Alive",330.6,646.2,3,0,1,2,0,0,0,0,0,0,0,0,55,155,1.2,3,2,0,0,22,5,23,"F/N 47"
"10","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Dead",330.176470588235,606.058823529412,0,0,0,8,1,7,0,0,1,8,0,0,55,155,1.47058823529412,0,4,13,0,22,17,77,"F/N 47"
"11","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Alive",407.431818181818,1257.11363636364,43,0,0,1,0,0,0,0,0,0,0,0,45,45,1,43,1,0,0,44,44,100,"F/N 47"
"12","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,44,0,0,"F/N 47"
"13","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Alive",354.2,826.4,1,0,0,9,0,0,0,0,0,0,0,0,52,52,1,1,9,0,0,52,10,19,"F/N 47"
"14","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Dead",363.095832697426,753.388095238095,1,0,0,4,10,28,0,0,7,9,0,0,52,52,1.4047619047619,1,2,39,0,52,42,81,"F/N 47"
"15","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Alive",639.266666666667,453.622222222222,42,0,0,3,0,0,0,0,0,0,0,0,50,50,1,42,3,0,0,45,45,100,"F/N 40"
"16","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Dead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,45,0,0,"F/N 40"
"17","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Alive",638.220779220779,434.454545454545,74,0,0,3,0,0,0,0,0,0,0,0,100,300,1,74,3,0,0,77,77,100,"F/N 40"
