"","Date_input","Date_recapture","Frequency","Species","Fin_cut","Length","Weight","State","Class_1","Class_2.1","Class_2.2","Class_2.3","Class_3.1","Class_3.2","Class_3.3","Class_3.4","Class_3.5","Class_3.6","Class_3.7","Class_4","SampleSize","Capture_Location","Location","Pump_type","Individuals_ID","Frequency_theoretical","Control","number_of_released_fish","Remarks","number_of_released_fish_per_scenario","Number_Injuries","Pump_type_Frequency","Pump_type_Frequency_Controle","Scenario_rep","Scenario_control","Species_Fin_cut","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","rpm","Pump_type_rpm"
"1",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",187,108.8,"Dead",0,1,0,1,0,0,0,0,1,0,0,0," 100 BV",NA,"OK","F/N",1,"47","pump",100,NA,500,3,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",0,0,1,0,"550","F/N - 550 rpm"
"2",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",175,89.4,"Dead",0,0,0,0,1,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",2,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",0,0,1,0,"550","F/N - 550 rpm"
"3",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",161,66.9,"Dead",0,0,0,0,1,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",3,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",0,0,1,0,"550","F/N - 550 rpm"
"4",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",167,78.4,"Dead",0,0,0,1,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",4,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",0,1,0,0,"550","F/N - 550 rpm"
"5",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",173,85.3,"Dead",0,0,0,0,1,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",5,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",0,0,1,0,"550","F/N - 550 rpm"
"6",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",168,75.3,"Dead",1,0,0,0,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",6,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",1,0,0,0,"550","F/N - 550 rpm"
"7",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",161,70,"Alive",1,0,0,0,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",7,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",1,0,0,0,"550","F/N - 550 rpm"
"8",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",182,107.4,"Alive",1,0,0,0,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",8,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",1,0,0,0,"550","F/N - 550 rpm"
"9",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",170,79.1,"Alive",1,0,0,0,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",9,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",1,0,0,0,"550","F/N - 550 rpm"
"10",2018-11-20,2018-11-20,"47","roach","geen 2018-11-20",168,79.6,"Alive",1,0,0,0,0,0,0,0,0,0,0,0," 100 BV",NA,"OK","F/N",10,"47","pump",100,NA,500,1,"F/N 47","47 F/N nee","F/N 47 blankvoorn geen 2018-11-20","blankvoorn 2018-11-20","blankvoorn geen 2018-11-20",1,0,0,0,"550","F/N - 550 rpm"
